date,open,high,low,close,volume
2024-10-31,414.53,415.329,405.488,405.538,54079011.469012
2024-11-01,408.193,414.67,406.686,409.55,24278942.619502
2024-11-04,408.971,409.595,404.761,407.644,19711662.832582
2024-11-05,407.554,414.071,407.265,410.638,17661291.926895
2024-11-06,411.596,419.61,409.7,419.341,26735249.439553
2024-11-07,420.438,425.997,419.041,424.58,19941618.200932
2024-11-08,424.47,425.648,420.937,421.696,16925224.52823
2024-11-11,421.671,423.961,415.169,417.175,24552367.824996
2024-11-12,417.414,423.592,416.367,422.185,19440038.224034
2024-11-13,420.798,428.467,417.375,424.351,21545224.631433
2024-11-14,424.151,427.315,419.161,426.037,30307424.36386
2024-11-15,418.981,421.955,412.814,414.171,28304185.611311
2024-11-18,414.041,417.568,411.277,414.929,24791537.600427
2024-11-19,412.285,417.105,410.728,416.955,18169825.795174
2024-11-20,416.037,416.456,409.76,414.66,19230069.782395
2024-11-21,419.5,419.78,410.2887,412.87,20780162.0
2024-11-22,411.365,417.4,411.06,417.0,24814626.0
2024-11-25,418.38,421.08,414.85,418.79,27691090.0
2024-11-26,419.585,429.0414,418.85,427.99,23458889.0
2024-11-27,425.105,427.2299,422.02,422.99,18332444.0
2024-11-29,420.09,424.8849,417.8,423.46,16271921.0
2024-12-02,421.57,433.0,421.31,430.98,20207223.0
2024-12-03,429.84,432.47,427.74,431.2,18301987.0
2024-12-04,433.03,439.67,432.63,437.42,26009429.0
2024-12-05,437.92,444.66,436.171,442.62,21697775.0
2024-12-06,442.3,446.1,441.7703,443.57,18821002.0
2024-12-09,442.6,448.33,440.5,446.02,19144388.0
2024-12-10,444.39,449.62,441.6,443.33,18469459.0
2024-12-11,444.05,450.35,444.05,448.99,19200208.0
2024-12-12,449.11,456.1648,449.11,449.56,20834779.0
2024-12-13,448.435,451.43,445.58,447.27,20177833.0
2024-12-16,447.27,452.18,445.28,451.59,23598834.0
2024-12-17,451.01,455.29,449.57,454.46,22733494.0
2024-12-18,451.32,452.65,437.02,437.39,24444545.0
2024-12-19,441.62,443.1834,436.32,437.03,22963681.0
2024-12-20,433.11,443.74,428.63,436.6,64263694.0
2024-12-23,436.74,437.65,432.83,435.25,19152519.0
2024-12-24,434.65,439.6,434.19,439.33,7164543.0
2024-12-26,439.08,440.94,436.63,438.11,8199927.0
2024-12-27,434.6,435.22,426.35,430.53,18117713.0
2024-12-30,426.06,427.55,421.9,424.83,13158703.0
2024-12-31,426.1,426.73,420.66,421.5,13246509.0
2025-01-02,425.53,426.07,414.85,418.58,16896469.0
2025-01-03,421.08,424.03,419.54,423.35,16662943.0
2025-01-06,428.0,434.32,425.4774,427.85,20573648.0
2025-01-07,429.0,430.65,420.8,422.37,18139065.0
2025-01-08,423.46,426.97,421.54,424.56,15054575.0
2025-01-10,424.63,424.71,415.02,418.95,20201132.0
2025-01-13,415.235,418.5,412.29,417.19,17604780.0
2025-01-14,417.81,419.74,410.72,415.67,16935856.0
2025-01-15,419.13,428.15,418.265,426.31,19637838.0
2025-01-16,428.695,429.49,424.39,424.58,15300023.0
2025-01-17,434.085,434.48,428.17,429.03,26197507.0
2025-01-21,430.2,430.8999,425.595,428.5,26085703.0
2025-01-22,437.56,447.27,436.0,446.2,27803811.0
2025-01-23,442.0,446.75,441.5048,446.71,18389270.0
2025-01-24,445.16,446.65,441.4,444.06,15549453.0
2025-01-27,424.01,435.2,423.5,434.56,35647805.0
2025-01-28,434.6,448.38,431.38,447.2,23491703.0
2025-01-29,446.69,446.88,440.4,442.33,23581370.0
2025-01-30,418.77,422.86,413.16,414.99,54586260.0
